iter	Passed	Remaining
189	276	1178
190	277	1173
191	277	1168
192	278	1162
193	278	1157
194	279	1152
195	279	1147
196	280	1142
197	280	1137
198	281	1132
199	281	1127
200	282	1122
201	283	1118
202	283	1113
203	284	1108
204	284	1103
205	285	1099
206	285	1094
207	286	1090
208	286	1085
209	287	1081
210	288	1077
211	288	1072
212	289	1068
213	289	1063
214	290	1059
215	290	1055
216	291	1051
217	291	1046
218	292	1042
219	292	1038
220	293	1034
221	293	1029
222	294	1025
223	295	1022
224	295	1017
225	296	1014
226	296	1010
227	297	1006
228	297	1002
229	298	998
230	298	994
231	299	991
232	300	988
233	300	984
234	301	980
235	301	977
236	302	973
237	302	970
238	303	966
239	304	962
240	304	959
241	305	956
242	305	952
243	306	949
244	306	945
245	307	942
246	307	938
247	308	935
248	309	932
249	309	928
250	310	925
251	310	922
252	311	919
253	311	915
254	312	912
255	312	909
256	313	906
257	313	903
258	314	899
259	315	896
260	315	893
261	316	890
262	316	887
263	317	884
264	318	882
265	318	879
266	319	876
267	319	873
268	320	870
269	320	867
270	321	864
271	321	861
272	322	858
273	323	855
274	323	852
275	324	850
276	324	847
277	325	844
278	325	841
279	326	838
280	326	836
281	327	833
282	328	831
283	328	828
284	329	826
285	329	823
286	330	820
287	331	818
288	331	815
289	332	813
290	332	810
291	333	808
292	333	805
293	334	803
294	334	800
295	335	798
296	336	795
297	336	793
298	337	790
299	337	787
300	338	785
301	338	783
302	339	780
303	339	778
304	340	775
305	340	773
306	341	770
307	342	768
308	342	766
309	343	764
310	343	761
311	344	759
312	345	757
313	345	755
314	346	752
315	346	750
316	347	748
317	348	746
318	348	744
319	349	742
320	349	739
321	350	737
322	350	735
323	351	733
324	351	731
325	352	728
326	353	726
327	353	724
328	354	722
329	354	720
330	355	718
331	356	716
332	356	714
333	357	712
334	357	710
335	358	708
336	358	706
337	359	704
338	360	702
339	360	699
340	361	697
341	361	695
342	362	694
343	362	691
344	363	689
345	364	688
346	364	686
347	365	684
348	365	682
349	366	679
350	366	677
351	367	675
352	367	673
353	368	671
354	368	669
355	369	667
356	369	665
357	370	663
358	370	662
359	371	660
360	371	658
361	372	656
362	373	654
363	373	653
364	374	651
365	374	649
366	375	647
367	376	645
368	376	643
369	377	642
370	377	640
371	378	638
372	378	636
373	379	635
374	380	633
375	380	631
376	381	629
377	381	628
378	382	626
379	382	624
380	383	622
381	383	621
382	384	619
383	385	617
384	385	615
385	386	614
386	386	612
387	387	610
388	387	609
389	388	607
390	388	605
391	389	603
392	389	602
393	390	600
394	391	599
395	391	597
396	392	595
397	392	594
398	393	592
399	394	591
400	394	589
401	395	587
402	395	586
403	396	584
404	396	582
405	397	581
406	397	579
407	398	578
408	398	576
409	399	574
410	400	573
411	400	571
412	401	570
413	401	568
414	402	567
415	402	565
416	403	563
417	403	562
418	404	560
419	404	559
420	405	557
421	405	556
422	406	554
423	407	553
424	407	551
425	408	550
426	408	548
427	409	547
428	409	545
429	410	544
430	410	542
431	411	541
432	412	539
433	412	538
434	413	536
435	413	535
436	414	533
437	414	532
438	415	530
439	416	529
440	416	528
441	417	526
442	417	525
443	418	523
444	418	522
445	419	520
446	419	519
447	420	518
448	421	516
449	421	515
450	422	513
451	422	512
452	423	511
453	423	509
454	424	508
455	425	507
456	425	505
457	426	504
458	426	502
459	427	501
460	427	500
461	428	498
462	428	497
463	429	496
464	430	494
465	430	493
466	431	491
467	431	490
468	432	489
469	432	487
470	433	486
471	433	485
472	434	483
473	434	482
474	435	481
475	435	479
476	436	478
477	436	477
478	437	475
479	438	474
480	438	473
481	439	471
482	439	470
483	440	469
484	440	468
485	441	466
486	441	465
487	442	464
488	443	463
489	443	461
490	444	460
491	444	459
492	445	458
